DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2018-05-17                16:26:10.826              136.35151420              3272.436341               137.35151420              1526574370.827            0                         963                       3.0000000000E+000         1.5000000000E+001         0.0000000000E+000         2.0051668710E+000         2.0678029783E+000         1.5638836959E+003         1.6236465105E+003         2.3891734589E+000         2.8846708010E+000         
2018-05-17                16:26:14.388              136.35155543              3272.437330               137.35155543              1526574374.389            0                         963                       2.0000000000E+000         1.5000000000E+001         0.0000000000E+000         1.9946348103E+000         2.0678029783E+000         1.5638836959E+003         1.6236465105E+003         2.3891734589E+000         2.8846708010E+000         
2018-05-17                16:26:34.042              136.35178289              3272.442789               137.35178289              1526574394.042            0                         963                       1.0000000000E+000         1.5000000000E+001         0.0000000000E+000         1.9946348103E+000         2.0678029783E+000         1.4424121276E+003         1.6236465105E+003         2.3891734589E+000         2.8846708010E+000         
2018-05-17                16:26:36.605              136.35181256              3272.443501               137.35181256              1526574396.605            0                         963                       3.0000000000E+000         1.5000000000E+001         0.0000000000E+000         1.9946348103E+000         2.0570755774E+000         1.4424121276E+003         1.4976514336E+003         2.3947619234E+000         2.8909884132E+000         
2018-05-17                16:26:38.207              136.35183110              3272.443946               137.35183110              1526574398.207            0                         963                       2.0000000000E+000         1.5000000000E+001         0.0000000000E+000         1.9871342888E+000         2.0570755774E+000         1.4424121276E+003         1.4976514336E+003         2.3947619234E+000         2.8909884132E+000         
2018-05-17                16:26:39.157              136.35184211              3272.444211               137.35184211              1526574399.158            0                         963                       1.0000000000E+000         1.5000000000E+001         0.0000000000E+000         1.9871342888E+000         2.0570755774E+000         1.3744795137E+003         1.4976514336E+003         2.3947619234E+000         2.8909884132E+000         
2018-05-17                16:26:42.181              136.35187711              3272.445051               137.35187711              1526574402.182            0                         963                       3.0000000000E+000         1.5000000000E+001         0.0000000000E+000         1.9871342888E+000         2.0493922444E+000         1.3744795137E+003         1.4271613094E+003         2.3930578042E+000         2.8890621376E+000         
2018-05-17                16:27:08.328              136.35217973              3272.452314               137.35217973              1526574428.329            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9871342888E+000         2.0493922444E+000         9.0923842068E+002         1.4271613094E+003         2.3930578042E+000         2.8890621376E+000         
2018-05-17                16:27:10.842              136.35220883              3272.453012               137.35220883              1526574430.843            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9871342888E+000         2.0336987818E+000         9.0923842068E+002         9.3529277591E+002         1.2298668675E+000         1.5336980009E+000         
2018-05-17                16:27:12.424              136.35222714              3272.453451               137.35222714              1526574432.425            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9919362865E+000         2.0336769745E+000         9.0923842068E+002         9.3528056041E+002         1.2298668675E+000         1.5336980009E+000         
2018-05-17                16:27:13.390              136.35223831              3272.453719               137.35223831              1526574433.390            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9919362865E+000         2.0336769745E+000         4.3913817057E+002         9.3528056041E+002         1.2298668675E+000         1.5336980009E+000         
2018-05-17                16:27:16.591              136.35227536              3272.454609               137.35227536              1526574436.591            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9919362865E+000         2.0234548572E+000         4.3913817057E+002         4.4763246095E+002         1.2224291348E+000         1.5247543164E+000         
2018-05-17                16:27:20.378              136.35231920              3272.455661               137.35231920              1526574440.379            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9858858266E+000         2.0234548572E+000         4.3913817057E+002         4.4763246095E+002         1.2224291348E+000         1.5247543164E+000         
2018-05-17                16:27:40.651              136.35255383              3272.461292               137.35255383              1526574460.651            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9858858266E+000         2.0234548572E+000         4.3558950063E+002         4.4763246095E+002         1.2224291348E+000         1.5247543164E+000         
2018-05-17                16:27:43.252              136.35258394              3272.462014               137.35258394              1526574463.252            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9858858266E+000         2.0171183559E+000         4.3558950063E+002         4.4396409133E+002         1.2152275136E+000         1.5160909746E+000         
2018-05-17                16:27:45.108              136.35260542              3272.462530               137.35260542              1526574465.108            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9812718704E+000         2.0171183559E+000         4.3558950063E+002         4.4396409133E+002         1.2152275136E+000         1.5160909746E+000         
2018-05-17                16:27:56.668              136.35273922              3272.465741               137.35273922              1526574476.669            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9812718704E+000         2.0171183559E+000         4.3498440754E+002         4.4396409133E+002         1.2152275136E+000         1.5160909746E+000         
2018-05-17                16:27:59.201              136.35276854              3272.466445               137.35276854              1526574479.202            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9812718704E+000         2.0123251009E+000         4.3498440754E+002         4.4331870217E+002         1.2141975879E+000         1.5148517160E+000         
2018-05-17                16:28:00.779              136.35278681              3272.466883               137.35278681              1526574480.780            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9776875421E+000         2.0123251009E+000         4.3498440754E+002         4.4331870217E+002         1.2141975879E+000         1.5148517160E+000         
2018-05-17                16:28:01.726              136.35279777              3272.467146               137.35279777              1526574481.727            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9776875421E+000         2.0123251009E+000         4.3501189617E+002         4.4331870217E+002         1.2141975879E+000         1.5148517160E+000         
2018-05-17                16:28:04.312              136.35282769              3272.467864               137.35282769              1526574484.312            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9776875421E+000         2.0086664478E+000         4.3501189617E+002         4.4334183530E+002         1.2138255235E+000         1.5144040116E+000         
2018-05-17                16:28:05.831              136.35284527              3272.468286               137.35284527              1526574485.831            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9741742599E+000         2.0086664478E+000         4.3501189617E+002         4.4334183530E+002         1.2138255235E+000         1.5144040116E+000         
2018-05-17                16:28:06.790              136.35285638              3272.468553               137.35285638              1526574486.791            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9741742599E+000         2.0086664478E+000         4.3505965733E+002         4.4334183530E+002         1.2138255235E+000         1.5144040116E+000         
2018-05-17                16:28:10.026              136.35289383              3272.469452               137.35289383              1526574490.027            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9741742599E+000         2.0050680689E+000         4.3505965733E+002         4.4338240717E+002         1.2118707248E+000         1.5120516516E+000         
2018-05-17                16:28:11.589              136.35291192              3272.469886               137.35291192              1526574491.590            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9710545057E+000         2.0050680689E+000         4.3505965733E+002         4.4338240717E+002         1.2118707248E+000         1.5120516516E+000         
2018-05-17                16:28:12.539              136.35292291              3272.470150               137.35292291              1526574492.539            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9710545057E+000         2.0050680689E+000         4.3505284532E+002         4.4338240717E+002         1.2118707248E+000         1.5120516516E+000         
2018-05-17                16:28:15.677              136.35295924              3272.471022               137.35295924              1526574495.678            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9710545057E+000         2.0018660470E+000         4.3505284532E+002         4.4336643506E+002         1.2112325663E+000         1.5112836500E+000         
2018-05-17                16:28:17.236              136.35297727              3272.471454               137.35297727              1526574497.236            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9683940972E+000         2.0018660470E+000         4.3505284532E+002         4.4336643506E+002         1.2112325663E+000         1.5112836500E+000         
2018-05-17                16:28:18.181              136.35298822              3272.471717               137.35298822              1526574498.182            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9683940972E+000         2.0018660470E+000         4.3509141427E+002         4.4336643506E+002         1.2112325663E+000         1.5112836500E+000         
2018-05-17                16:28:21.321              136.35302455              3272.472589               137.35302455              1526574501.321            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9683940972E+000         1.9991413330E+000         4.3509141427E+002         4.4339959888E+002         1.2101071217E+000         1.5099291493E+000         
2018-05-17                16:28:22.869              136.35304248              3272.473019               137.35304248              1526574502.870            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9654881592E+000         1.9991413330E+000         4.3509141427E+002         4.4339959888E+002         1.2101071217E+000         1.5099291493E+000         
2018-05-17                16:28:23.809              136.35305336              3272.473281               137.35305336              1526574503.810            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9654881592E+000         1.9991413330E+000         4.3509592206E+002         4.4339959888E+002         1.2101071217E+000         1.5099291493E+000         
2018-05-17                16:28:27.036              136.35309069              3272.474177               137.35309069              1526574507.036            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9654881592E+000         1.9961805148E+000         4.3509592206E+002         4.4340162372E+002         1.2104948931E+000         1.5103958515E+000         
2018-05-17                16:28:28.608              136.35310890              3272.474614               137.35310890              1526574508.609            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9636636382E+000         1.9961805148E+000         4.3509592206E+002         4.4340162372E+002         1.2104948931E+000         1.5103958515E+000         
2018-05-17                16:28:29.565              136.35311998              3272.474879               137.35311998              1526574509.566            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9636636382E+000         1.9961805148E+000         4.3507958049E+002         4.4340162372E+002         1.2104948931E+000         1.5103958515E+000         
2018-05-17                16:28:33.102              136.35316091              3272.475862               137.35316091              1526574513.103            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9636636382E+000         1.9943334757E+000         4.3507958049E+002         4.4338658892E+002         1.2105719279E+000         1.5104885656E+000         
2018-05-17                16:28:35.125              136.35318432              3272.476424               137.35318432              1526574515.125            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9615098521E+000         1.9943334757E+000         4.3507958049E+002         4.4338658892E+002         1.2105719279E+000         1.5104885656E+000         
2018-05-17                16:28:47.650              136.35332928              3272.479903               137.35332928              1526574527.650            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9615098521E+000         1.9943334757E+000         4.3506529444E+002         4.4338658892E+002         1.2105719279E+000         1.5104885656E+000         
