DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2018-05-19                19:41:33.019              138.48718773              3323.692506               139.48718773              1526758893.020            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9562836289E+000         1.9911566766E+000         4.1044668103E+002         4.1886841045E+002         1.2802681152E+000         1.5942057179E+000         
2018-05-19                19:41:35.611              138.48721772              3323.693225               139.48721772              1526758895.611            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9562836289E+000         1.9884912142E+000         4.1044668103E+002         4.1870759993E+002         1.2698208897E+000         1.5816776790E+000         
2018-05-19                19:41:37.122              138.48723522              3323.693645               139.48723522              1526758897.123            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9554973598E+000         1.9884912142E+000         4.1044668103E+002         4.1870759993E+002         1.2698208897E+000         1.5816776790E+000         
2018-05-19                19:41:38.079              138.48724630              3323.693911               139.48724630              1526758898.080            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9554973598E+000         1.9884912142E+000         4.1047764805E+002         4.1870759993E+002         1.2698208897E+000         1.5816776790E+000         
2018-05-19                19:41:40.592              138.48727537              3323.694609               139.48727537              1526758900.592            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9554973598E+000         1.9875601644E+000         4.1047764805E+002         4.1870533850E+002         1.2699797483E+000         1.5818682329E+000         
2018-05-19                19:41:42.183              138.48729378              3323.695051               139.48729378              1526758902.183            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9536673064E+000         1.9875601644E+000         4.1047764805E+002         4.1870533850E+002         1.2699797483E+000         1.5818682329E+000         
2018-05-19                19:41:43.141              138.48730488              3323.695317               139.48730488              1526758903.142            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9536673064E+000         1.9875601644E+000         4.1053619820E+002         4.1870533850E+002         1.2699797483E+000         1.5818682329E+000         
2018-05-19                19:41:45.668              138.48733413              3323.696019               139.48733413              1526758905.669            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9536673064E+000         1.9856577891E+000         4.1053619820E+002         4.1875418503E+002         1.2665158845E+000         1.5777128749E+000         
2018-05-19                19:41:47.242              138.48735234              3323.696456               139.48735234              1526758907.242            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9518770110E+000         1.9856577891E+000         4.1053619820E+002         4.1875418503E+002         1.2665158845E+000         1.5777128749E+000         
2018-05-19                19:41:48.171              138.48736309              3323.696714               139.48736309              1526758908.171            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9518770110E+000         1.9856577891E+000         4.1057488514E+002         4.1875418503E+002         1.2665158845E+000         1.5777128749E+000         
