DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2018-05-14                13:05:45.706              133.21233456              3197.096029               134.21233456              1526303145.706            0                         963                       2.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9819379743E+000         2.0409233283E+000         2.3716112177E+003         2.4604800056E+003         2.3402133602E+000         2.8292472904E+000         
2018-05-14                13:06:04.604              133.21255329              3197.101279               134.21255329              1526303164.604            0                         963                       1.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9819379743E+000         2.0409233283E+000         2.2303557035E+003         2.4604800056E+003         2.3402133602E+000         2.8292472904E+000         
2018-05-14                13:06:05.160              133.21255972              3197.101433               134.21255972              1526303165.160            0                         963                       3.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9819379743E+000         2.0425345724E+000         2.2303557035E+003         2.3137753546E+003         2.3352607161E+000         2.8236332672E+000         
2018-05-14                13:06:10.266              133.21261882              3197.102852               134.21261882              1526303170.266            0                         963                       2.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9882299940E+000         2.0425345724E+000         2.2303557035E+003         2.3137753546E+003         2.3352607161E+000         2.8236332672E+000         
2018-05-14                13:06:33.201              133.21288428              3197.109223               134.21288428              1526303193.202            0                         963                       1.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9882299940E+000         2.0425345724E+000         2.0252719859E+003         2.3137753546E+003         2.3352607161E+000         2.8236332672E+000         
2018-05-14                13:06:35.674              133.21291291              3197.109910               134.21291291              1526303195.675            0                         963                       3.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9882299940E+000         2.0488133794E+000         2.0252719859E+003         2.1007644851E+003         2.3248383228E+000         2.8118145087E+000         
2018-05-14                13:06:39.010              133.21295152              3197.110836               134.21295152              1526303199.011            0                         963                       2.0000000000E+000         9.2743362832E+000         0.0000000000E+000         1.9960990072E+000         2.0488133794E+000         2.0252719859E+003         2.1007644851E+003         2.3248383228E+000         2.8118145087E+000         
2018-05-14                13:06:57.910              133.21317025              3197.116086               134.21317025              1526303217.910            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9960990072E+000         2.0488133794E+000         1.2072706204E+003         2.1007644851E+003         2.3248383228E+000         2.8118145087E+000         
2018-05-14                13:07:00.505              133.21320029              3197.116807               134.21320029              1526303220.505            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9960990072E+000         2.0413945116E+000         1.2072706204E+003         1.2407700495E+003         1.1873602407E+000         1.4825342294E+000         
2018-05-14                13:07:02.017              133.21321780              3197.117227               134.21321780              1526303222.018            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0713136699E+000         2.0413945116E+000         1.2072706204E+003         1.2407700495E+003         1.1873602407E+000         1.4825342294E+000         
2018-05-14                13:07:02.953              133.21322863              3197.117487               134.21322863              1526303222.954            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0713136699E+000         2.0413945116E+000         5.0644444267E+002         1.2407700495E+003         1.1873602407E+000         1.4825342294E+000         
2018-05-14                13:07:05.490              133.21325799              3197.118192               134.21325799              1526303225.490            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0713136699E+000         2.1030010946E+000         5.0644444267E+002         5.1591552001E+002         1.1847236638E+000         1.4793566205E+000         
2018-05-14                13:07:28.608              133.21352556              3197.124613               134.21352556              1526303248.608            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0713136699E+000         2.1030010946E+000         5.0437035961E+002         5.1591552001E+002         1.1847236638E+000         1.4793566205E+000         
2018-05-14                13:07:31.194              133.21355550              3197.125332               134.21355550              1526303251.195            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0713136699E+000         2.1029514348E+000         5.0437035961E+002         5.1378785906E+002         1.1810582943E+000         1.4749383199E+000         
2018-05-14                13:07:34.368              133.21359223              3197.126214               134.21359223              1526303254.369            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0717921458E+000         2.1029157245E+000         5.0437035961E+002         5.1377722341E+002         1.1810582943E+000         1.4749383199E+000         
2018-05-14                13:07:53.279              133.21381110              3197.131466               134.21381110              1526303273.279            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0717921458E+000         2.1029157245E+000         5.0302005773E+002         5.1377722341E+002         1.1810582943E+000         1.4749383199E+000         
2018-05-14                13:07:55.913              133.21384159              3197.132198               134.21384159              1526303275.913            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0717921458E+000         2.1033286639E+000         5.0302005773E+002         5.1238010759E+002         1.1793475669E+000         1.4728758650E+000         
2018-05-14                13:07:59.365              133.21388154              3197.133157               134.21388154              1526303279.365            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0725055551E+000         2.1033286639E+000         5.0302005773E+002         5.1238010759E+002         1.1793475669E+000         1.4728758650E+000         
2018-05-14                13:08:18.996              133.21410876              3197.138610               134.21410876              1526303298.997            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0725055551E+000         2.1033286639E+000         5.0289371380E+002         5.1238010759E+002         1.1793475669E+000         1.4728758650E+000         
2018-05-14                13:08:21.596              133.21413885              3197.139332               134.21413885              1526303301.597            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0725055551E+000         2.1040278441E+000         5.0289371380E+002         5.1224396679E+002         1.1792070756E+000         1.4727064797E+000         
2018-05-14                13:08:23.111              133.21415639              3197.139753               134.21415639              1526303303.112            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0736266934E+000         2.1040278441E+000         5.0289371380E+002         5.1224396679E+002         1.1792070756E+000         1.4727064797E+000         
2018-05-14                13:08:24.055              133.21416731              3197.140016               134.21416731              1526303304.056            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0736266934E+000         2.1040278441E+000         5.0284589765E+002         5.1224396679E+002         1.1792070756E+000         1.4727064797E+000         
2018-05-14                13:08:27.378              133.21420576              3197.140938               134.21420576              1526303307.378            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0736266934E+000         2.1051964351E+000         5.0284589765E+002         5.1220427832E+002         1.1815895645E+000         1.4755787791E+000         
2018-05-14                13:08:29.059              133.21422523              3197.141406               134.21422523              1526303309.060            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0738863515E+000         2.1051964351E+000         5.0284589765E+002         5.1220427832E+002         1.1815895645E+000         1.4755787791E+000         
2018-05-14                13:08:29.996              133.21423606              3197.141666               134.21423606              1526303309.996            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0738863515E+000         2.1051964351E+000         5.0289073168E+002         5.1220427832E+002         1.1815895645E+000         1.4755787791E+000         
2018-05-14                13:08:33.423              133.21427573              3197.142618               134.21427573              1526303313.423            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0738863515E+000         2.1054945718E+000         5.0289073168E+002         5.1226018656E+002         1.1817527155E+000         1.4757754578E+000         
2018-05-14                13:08:36.681              133.21431345              3197.143523               134.21431345              1526303316.682            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0738282781E+000         2.1054945718E+000         5.0289073168E+002         5.1226018656E+002         1.1817527155E+000         1.4757754578E+000         
2018-05-14                13:08:55.594              133.21453234              3197.148776               134.21453234              1526303335.594            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0738282781E+000         2.1054945718E+000         5.0288088134E+002         5.1226018656E+002         1.1817527155E+000         1.4757754578E+000         
2018-05-14                13:08:58.135              133.21456176              3197.149482               134.21456176              1526303338.136            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0738282781E+000         2.1054715661E+000         5.0288088134E+002         5.1226081597E+002         1.1842406126E+000         1.4787743947E+000         
2018-05-14                13:09:00.062              133.21458406              3197.150017               134.21458406              1526303340.063            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0754434142E+000         2.1054715661E+000         5.0288088134E+002         5.1226081597E+002         1.1842406126E+000         1.4787743947E+000         
2018-05-14                13:09:11.637              133.21471802              3197.153233               134.21471802              1526303351.637            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0754434142E+000         2.1054715661E+000         5.0279297144E+002         5.1226081597E+002         1.1842406126E+000         1.4787743947E+000         
2018-05-14                13:09:14.181              133.21474748              3197.153939               134.21474748              1526303354.182            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0754434142E+000         2.1071384707E+000         5.0279297144E+002         5.1217930342E+002         1.1837509976E+000         1.4781842411E+000         
2018-05-14                13:09:15.789              133.21476609              3197.154386               134.21476609              1526303355.790            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0750111659E+000         2.1071384707E+000         5.0279297144E+002         5.1217930342E+002         1.1837509976E+000         1.4781842411E+000         
2018-05-14                13:09:16.729              133.21477696              3197.154647               134.21477696              1526303356.729            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0750111659E+000         2.1071384707E+000         5.0278322286E+002         5.1217930342E+002         1.1837509976E+000         1.4781842411E+000         
2018-05-14                13:09:19.878              133.21481340              3197.155522               134.21481340              1526303359.878            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0750111659E+000         2.1066655066E+000         5.0278322286E+002         5.1215926245E+002         1.1817267289E+000         1.4757441311E+000         
2018-05-14                13:09:21.529              133.21483252              3197.155981               134.21483252              1526303361.530            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0751880745E+000         2.1066655066E+000         5.0278322286E+002         5.1215926245E+002         1.1817267289E+000         1.4757441311E+000         
2018-05-14                13:09:22.476              133.21484347              3197.156243               134.21484347              1526303362.476            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0751880745E+000         2.1066655066E+000         5.0278066250E+002         5.1215926245E+002         1.1817267289E+000         1.4757441311E+000         
2018-05-14                13:09:25.089              133.21487373              3197.156969               134.21487373              1526303365.090            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0751880745E+000         2.1068339757E+000         5.0278066250E+002         5.1215335369E+002         1.1829302355E+000         1.4771949052E+000         
2018-05-14                13:09:26.622              133.21489147              3197.157395               134.21489147              1526303366.623            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0757053233E+000         2.1068339757E+000         5.0278066250E+002         5.1215335369E+002         1.1829302355E+000         1.4771949052E+000         
2018-05-14                13:09:27.588              133.21490265              3197.157664               134.21490265              1526303367.589            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0757053233E+000         2.1068339757E+000         5.0283850117E+002         5.1215335369E+002         1.1829302355E+000         1.4771949052E+000         
2018-05-14                13:09:30.812              133.21493997              3197.158559               134.21493997              1526303370.813            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0757053233E+000         2.1073692563E+000         5.0283850117E+002         5.1221527621E+002         1.1824739919E+000         1.4766449354E+000         
2018-05-14                13:09:32.352              133.21495779              3197.158987               134.21495779              1526303372.353            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0759950837E+000         2.1073692563E+000         5.0283850117E+002         5.1221527621E+002         1.1824739919E+000         1.4766449354E+000         
2018-05-14                13:09:33.295              133.21496869              3197.159249               134.21496869              1526303373.295            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0759950837E+000         2.1073692563E+000         5.0279490147E+002         5.1221527621E+002         1.1824739919E+000         1.4766449354E+000         
