DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2018-05-13                02:57:52.450              131.79019041              3162.964570               132.79019041              1526180272.451            0                         963                       2.0000000000E+000         9.8624338624E+000         0.0000000000E+000         1.8230633285E+000         1.8714351149E+000         1.9729635497E+003         2.0467981868E+003         2.3340750665E+000         2.8222890785E+000         
2018-05-13                02:57:53.430              131.79020174              3162.964842               132.79020174              1526180273.430            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.8230633285E+000         1.8714351149E+000         1.8443961788E+003         2.0467981868E+003         2.3340750665E+000         2.8222890785E+000         
2018-05-13                02:57:56.996              131.79024301              3162.965832               132.79024301              1526180276.996            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.8230633285E+000         1.8739254139E+000         1.8443961788E+003         1.9073350799E+003         1.9445983229E+000         2.3763250017E+000         
2018-05-13                02:58:01.625              131.79029660              3162.967118               132.79029660              1526180281.626            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         -4.6025831929E+000        1.8739254139E+000         1.8443961788E+003         1.9073350799E+003         1.9445983229E+000         2.3763250017E+000         
2018-05-13                02:58:23.355              131.79054809              3162.973154               132.79054809              1526180303.355            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         -4.6025831929E+000        1.8739254139E+000         1.9329818678E+003         1.9073350799E+003         1.9445983229E+000         2.3763250017E+000         
2018-05-13                02:58:26.306              131.79058226              3162.973974               132.79058226              1526180306.307            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         -4.6025831929E+000        -4.6881898114E+000        1.9329818678E+003         1.9769375842E+003         9.4452172278E-001         1.1878465063E+000         
2018-05-13                02:58:27.953              131.79060131              3162.974431               132.79060131              1526180307.953            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.3059471643E+000         -4.6881898114E+000        1.9329818678E+003         1.9769375842E+003         9.4452172278E-001         1.1878465063E+000         
2018-05-13                02:58:28.907              131.79061235              3162.974696               132.79061235              1526180308.907            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.3059471643E+000         -4.6881898114E+000        4.0727280620E+002         1.9769375842E+003         9.4452172278E-001         1.1878465063E+000         
2018-05-13                02:58:32.029              131.79064848              3162.975564               132.79064848              1526180312.029            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.3059471643E+000         2.3339291072E+000         4.0727280620E+002         4.1331359968E+002         9.4245799400E-001         1.1853244128E+000         
2018-05-13                02:58:33.572              131.79066635              3162.975992               132.79066635              1526180313.573            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.2654947793E+000         2.3339291072E+000         4.0727280620E+002         4.1331359968E+002         9.4245799400E-001         1.1853244128E+000         
