DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2018-05-20                01:43:22.927              138.73845980              3329.723035               139.73845980              1526780602.927            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.5698299358E+000         3.0365928943E-001         4.0486849344E+002         9.0489043924E+002         1.2204728623E+000         1.5224013254E+000         
2018-05-20                01:43:25.539              138.73849003              3329.723761               139.73849003              1526780605.539            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.5698299358E+000         2.6101421412E+000         4.0486849344E+002         4.1263237346E+002         1.2109916263E+000         1.5109936800E+000         
2018-05-20                01:43:27.088              138.73850796              3329.724191               139.73850796              1526780607.088            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9088416163E+000         2.6101421412E+000         4.0486849344E+002         4.1263237346E+002         1.2109916263E+000         1.5109936800E+000         
2018-05-20                01:43:28.026              138.73851882              3329.724452               139.73851882              1526780608.026            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9088416163E+000         2.6101421412E+000         4.0375108688E+002         4.1263237346E+002         1.2109916263E+000         1.5109936800E+000         
2018-05-20                01:43:31.497              138.73855900              3329.725416               139.73855900              1526780611.498            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9088416163E+000         1.9386532397E+000         4.0375108688E+002         4.1145942920E+002         1.2099177956E+000         1.5097012820E+000         
2018-05-20                01:43:35.023              138.73859980              3329.726395               139.73859980              1526780615.023            0                         963                       2.0000000000E+000         1.4981481481E+001         0.0000000000E+000         1.9090054935E+000         1.9386532397E+000         4.0375108688E+002         4.1145942920E+002         1.2099177956E+000         1.5097012820E+000         
2018-05-20                01:43:54.756              138.73882819              3329.731877               139.73882819              1526780634.756            0                         963                       1.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.9090054935E+000         1.9386532397E+000         1.9410091127E+003         4.1145942920E+002         1.2099177956E+000         1.5097012820E+000         
2018-05-20                01:43:55.430              138.73883600              3329.732064               139.73883600              1526780635.430            0                         963                       3.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.9090054935E+000         1.9523996032E+000         1.9410091127E+003         1.9949616316E+003         2.3069948438E+000         2.7915660538E+000         
2018-05-20                01:44:00.663              138.73889656              3329.733518               139.73889656              1526780640.663            0                         963                       2.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8434314625E+000         1.9523996032E+000         1.9410091127E+003         1.9949616316E+003         2.3069948438E+000         2.7915660538E+000         
2018-05-20                01:44:23.750              138.73916378              3329.739931               139.73916378              1526780663.751            0                         963                       1.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8434314625E+000         1.9523996032E+000         3.2521161827E+003         1.9949616316E+003         2.3069948438E+000         2.7915660538E+000         
2018-05-20                01:44:26.381              138.73919422              3329.740661               139.73919422              1526780666.381            0                         963                       3.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8434314625E+000         1.9004629707E+000         3.2521161827E+003         3.3751994092E+003         2.4226420052E+000         2.9224798748E+000         
2018-05-20                01:44:30.365              138.73924035              3329.741768               139.73924035              1526780670.366            0                         963                       2.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8476421186E+000         1.9004629707E+000         3.2521161827E+003         3.3751994092E+003         2.4226420052E+000         2.9224798748E+000         
2018-05-20                01:44:50.796              138.73947681              3329.747443               139.73947681              1526780690.796            0                         963                       1.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8476421186E+000         1.9004629707E+000         2.7994588788E+003         3.3751994092E+003         2.4226420052E+000         2.9224798748E+000         
2018-05-20                01:44:53.355              138.73950644              3329.748154               139.73950644              1526780693.356            0                         963                       3.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8476421186E+000         1.9064633734E+000         2.7994588788E+003         2.9084918326E+003         2.4401789417E+000         2.9422660772E+000         
2018-05-20                01:44:57.367              138.73955286              3329.749269               139.73955286              1526780697.367            0                         963                       2.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8519335692E+000         1.9064633734E+000         2.7994588788E+003         2.9084918326E+003         2.4401789417E+000         2.9422660772E+000         
2018-05-20                01:45:17.763              138.73978894              3329.754934               139.73978894              1526780717.764            0                         963                       1.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8519335692E+000         1.9064633734E+000         2.4737153622E+003         2.9084918326E+003         2.4401789417E+000         2.9422660772E+000         
2018-05-20                01:45:20.364              138.73981903              3329.755657               139.73981903              1526780720.364            0                         963                       3.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8519335692E+000         1.9110959118E+000         2.4737153622E+003         2.5703960444E+003         2.4390148812E+000         2.9409532492E+000         
2018-05-20                01:45:24.040              138.73986159              3329.756678               139.73986159              1526780724.041            0                         963                       2.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8574580860E+000         1.9110959118E+000         2.4737153622E+003         2.5703960444E+003         2.4390148812E+000         2.9409532492E+000         
2018-05-20                01:45:43.693              138.74008904              3329.762137               139.74008904              1526780743.693            0                         963                       1.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8574580860E+000         1.9110959118E+000         2.2036428036E+003         2.5703960444E+003         2.4390148812E+000         2.9409532492E+000         
2018-05-20                01:45:46.292              138.74011912              3329.762859               139.74011912              1526780746.292            0                         963                       3.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8574580860E+000         1.9162532241E+000         2.2036428036E+003         2.2889776258E+003         2.3967763886E+000         2.8932652819E+000         
2018-05-20                01:45:50.151              138.74016380              3329.763931               139.74016380              1526780750.152            0                         963                       2.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8618157304E+000         1.9162532241E+000         2.2036428036E+003         2.2889776258E+003         2.3967763886E+000         2.8932652819E+000         
2018-05-20                01:46:10.576              138.74040020              3329.769605               139.74040020              1526780770.577            0                         963                       1.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8618157304E+000         1.9162532241E+000         1.9737254608E+003         2.2889776258E+003         2.3967763886E+000         2.8932652819E+000         
2018-05-20                01:46:13.198              138.74043054              3329.770333               139.74043054              1526780773.199            0                         963                       3.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8618157304E+000         1.9201649601E+000         1.9737254608E+003         2.0493983072E+003         2.3924447583E+000         2.8883691325E+000         
2018-05-20                01:46:14.871              138.74044990              3329.770798               139.74044990              1526780774.871            0                         963                       2.0000000000E+000         5.0000000000E+000         0.0000000000E+000         1.8647299116E+000         1.9201649601E+000         1.9737254608E+003         2.0493983072E+003         2.3924447583E+000         2.8883691325E+000         
